"percentile","WEIGHT"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0.95
12,0.902631579
13,0.855263158
14,0.807894737
15,0.760526316
16,0.713157895
17,0.665789474
18,0.618421053
19,0.571052632
20,0.523684211
21,0.476315789
22,0.428947368
23,0.381578947
24,0.334210526
25,0.286842105
26,0.239473684
27,0.192105263
28,0.144736842
29,0.097368421
30,0.05
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
